authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Morales M, Wang SD, Diaz-Ruiz O, Jho DH",14648680,,,10.1002/cne.10968,,,205,216,Cannabinoid CB1 receptor and serotonin 3 receptor subunit A (5-HT3A) are co-expressed in GABA neurons in the rat telencephalon.,2004 Jan 6,J Comp Neurol,468,2,,
"Losonczy A, Biro AA, Nusser Z",14734812,PMC337058,,10.1073/pnas.0304752101,,1,1362,1367,Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons.,2004 Feb 3,Proc Natl Acad Sci U S A,101,5,2036: CA3:MFA-1: CA3 mossy fiber-associated interneuron,1
"van Haeften T, Baks-te-Bulte L, Goede PH, Wouterlood FG, Witter MP",14750656,,,10.1002/hipo.10144,,,943,952,Morphological and numerical analysis of synaptic interactions between neurons in  deep and superficial layers of the entorhinal cortex of the rat.,2003,Hippocampus,13,8,6002: EC:PC_V-DG-SUB: EC layer V pyramidal neuron ### 6079: EC:HI_V: EC layer V horizontal cells,1
"Herzog E, Gilchrist J, Gras C, Muzerelle A, Ravassard P, Giros B, Gaspar P, El Mestikawy S",14751290,,,,,,983,1002,"Localization of VGLUT3, the vesicular glutamate transporter type 3, in the rat brain.",2004,Neuroscience,123,4,,
"Lopez-Tellez JF, Vela J, del Rio JC, Ramos B, Baglietto-Vargas D, Santa-Maria C, Ruano D, Gutierrez A, Vitorica J",14757527,,,,,,129,141,Postnatal development of the alpha1 containing GABAA receptor subunit in rat hippocampus.,2004 Jan 31,Brain Res Dev Brain Res,148,1,,
"Somogyi J, Baude A, Omori Y, Shimizu H, El Mestikawy S, Fukaya M, Shigemoto R, Watanabe M, Somogyi P",14984406,,,10.1111/j.0953-816X.2003.03091.x,,,552,569,GABAergic basket cells expressing cholecystokinin contain vesicular glutamate transporter type 3 (VGLUT3) in their synaptic terminals in hippocampus and isocortex of the rat.,2004 Feb,Eur J Neurosci,19,3,,0
"Jinno S, Kosaka T",15026120,,,10.1016/j.neuroscience.2004.01.027,,,797,808,Patterns of colocalization of neuronal nitric oxide synthase and somatostatin-like immunoreactivity in the mouse hippocampus: quantitative analysis with optical disector.,2004,Neuroscience,124,4,,0
"Brenneke F, Bukalo O, Dityatev A, Lie AA",15026125,,,10.1016/j.neuroscience.2003.11.037,,,841,855,"Mice deficient for the extracellular matrix glycoprotein tenascin-r show physiological and structural hallmarks of increased hippocampal excitability, but no increased susceptibility to seizures in the pilocarpine model of epilepsy.",2004,Neuroscience,124,4,,
"Ferraguti F, Cobden P, Pollard M, Cope D, Shigemoto R, Watanabe M, Somogyi P",15098725,,,10.1002/hipo.10163,,,193,215,Immunolocalization of metabotropic glutamate receptor 1alpha (mGluR1alpha) in distinct classes of interneuron in the CA1 region of the rat hippocampus.,2004,Hippocampus,14,2,,
"Ganter P, Szucs P, Paulsen O, Somogyi P",15098728,,,10.1002/hipo.10170,,,232,243,Properties of horizontal axo-axonic cells in stratum oriens of the hippocampal CA1 area of rats in vitro.,2004,Hippocampus,14,2,"4036: CA1:AA: CA1 axo-axonic cell ### 4038: CA1:AA_horz: CA1 axo-axonic cell, CA1 horizontal axo-axonic cell",1
"Matsuda S, Kobayashi Y, Ishizuka N",15140566,,,10.1016/j.neures.2004.03.002,,,241,252,A quantitative analysis of the laminar distribution of synaptic boutons in field  CA3 of the rat hippocampus.,2004 Jun,Neurosci Res,49,2,,0
"Kogo N, Dalezios Y, Capogna M, Ferraguti F, Shigemoto R, Somogyi P",15147307,,,10.1111/j.0953-816X.2004.03394.x,,,2727,2740,Depression of GABAergic input to identified hippocampal neurons by group III metabotropic glutamate receptors in the rat.,2004 May,Eur J Neurosci,19,10,,
"Keilhoff G, Becker A, Grecksch G, Wolf G, Bernstein HG",15183509,,,10.1016/j.neuroscience.2004.03.039,,,591,598,"Repeated application of ketamine to rats induces changes in the hippocampal expression of parvalbumin, neuronal nitric oxide synthase and cFOS similar to those found in human schizophrenia.",2004,Neuroscience,126,3,,
"Schindler CJ, Slamberova R, Rimanoczy A, Hnactzuk OC, Riley MA, Vathy I",15207353,,,,,,355,364,"Field-specific changes in hippocampal opioid mRNA, peptides, and receptors due to prenatal morphine exposure in adult male rats.",2004,Neuroscience,126,2,,
"Matyas F, Freund TF, Gulyas AI",15224983,,,10.1002/hipo.100191,,,460,481,Immunocytochemically defined interneuron populations in the hippocampus of mouse  strains used in transgenic technology.,2004,Hippocampus,14,4,,
"Santhakumar V, Aradi I, Soltesz I",15342722,,,10.1152/jn.00777.2004,,,437,453,Role of mossy fiber sprouting and mossy cell loss in hyperexcitability: a network model of the dentate gyrus incorporating cell types and axonal topography.,2005 Jan,J Neurophysiol,93,1,,0
"Shi L, Argenta AE, Winseck AK, Brunso-Bechtold JK",15368530,,,10.1002/cne.20303,,,282,291,Stereological quantification of GAD-67-immunoreactive neurons and boutons in the  hippocampus of middle-aged and old Fischer 344 x Brown Norway rats.,2004 Oct 18,J Comp Neurol,478,3,,0
"Singec I, Knoth R, Ditter M, Volk B, Frotscher M",15389613,,,10.1002/cne.20302,,,30,42,Neurogranin is expressed by principal cells but not interneurons in the rodent and monkey neocortex and hippocampus.,2004 Nov 1,J Comp Neurol,479,1,,
"Patel LS, Wenzel HJ, Schwartzkroin PA",15483119,,,10.1523/JNEUROSCI.2943-04.2004,,,9005,9014,Physiological and morphological characterization of dentate granule cells in the  p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,2004 Oct 13,J Neurosci,24,41,,
"Hajos N, Palhalmi J, Mann EO, Nemeth B, Paulsen O, Freund TF",15483131,,,10.1523/JNEUROSCI.2113-04.2004,,,9127,9137,Spike timing of distinct types of GABAergic interneuron during hippocampal gamma  oscillations in vitro.,2004 Oct 13,J Neurosci,24,41,2008: CA3:R-LM: CA3 RLM cell ### 2023: CA3:R-CB: CA3 radiatum neuron ### 2021: CA3:IS: CA3 IS cell,1
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH",15486016,PMC1665476,,10.1113/jphysiol.2004.073007,,1,131,147,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro.,2005 Jan 1,J Physiol,562,Pt 1,2009: CA3:O-LM: CA3 O-LM cell,1
Maccaferri G,15498801,PMC1665470,,10.1113/jphysiol.2004.077081,,1,73,80,Stratum oriens horizontal interneurone diversity and hippocampal network dynamics.,2005 Jan 1,J Physiol,562,Pt 1,,0
"Somogyi P, Klausberger T",15539390,PMC1665488,,10.1113/jphysiol.2004.078915,,1,9,26,Defined types of cortical interneurone structure space and spike timing in the hippocampus.,2005 Jan 1,J Physiol,562,Pt 1,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 perforant-path-associated cell ### 4005: CA1:NGF-LM: CA1 neurogliaform cell ### 4006: CA1:PPA-SUB: CA1 perforant-path-associated cell ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK/VIP, CA1 basket CCK/VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneurone specific cell III, CA1 IS-III ### 4021: CA1:IS-2: CA1 interneuron specific II, CA1 IS-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar",1
"Knopp A, Kivi A, Wozny C, Heinemann U, Behr J",15700275,,,,,,476,488,Cellular and network properties of the subiculum in the pilocarpine model of temporal lobe epilepsy.,2005 Mar 21,J Comp Neurol,483,4,,
"Feart C, Mingaud F, Enderlin V, Husson M, Alfos S, Higueret P, Pallet V",15708448,,,10.1016/j.neurobiolaging.2004.06.004,,,729,738,Differential effect of retinoic acid and triiodothyronine on the age-related hypo-expression of neurogranin in rat.,2005 May,Neurobiol Aging,26,5,,
"Chaudhuri JD, Hiltunen M, Nykanen M, Yla-Herttuala S, Soininen H, Miettinen R",15708496,,,10.1016/j.neuroscience.2004.11.032,,,557,566,Localization of M2 muscarinic receptor protein in parvalbumin and calretinin containing cells of the adult rat entorhinal cortex using two complementary methods.,2005,Neuroscience,131,2,,
"Lein ES, Callaway EM, Albright TD, Gage FH",15776443,,,10.1002/cne.20426,,,1,10,Redefining the boundaries of the hippocampal CA2 subfield in the mouse using gene expression and 3-dimensional reconstruction.,2005 Apr 25,J Comp Neurol,485,1,,
"Howard A, Tamas G, Soltesz I",15927687,,,10.1016/j.tins.2005.04.004,,,310,316,Lighting the chandelier: new vistas for axo-axonic cells.,2005 Jun,Trends Neurosci,28,6,,0
"Hattiangady B, Rao MS, Shetty GA, Shetty AK",16002067,,,10.1016/j.expneurol.2005.05.014,,,353,371,"Brain-derived neurotrophic factor, phosphorylated cyclic AMP response element binding protein and neuropeptide Y decline as early as middle age in the dentate  gyrus and CA1 and CA3 subfields of the hippocampus.",2005 Oct,Exp Neurol,195,2,,
"Price CJ, Cauli B, Kovacs ER, Kulik A, Lambolez B, Shigemoto R, Capogna M",16033887,,,10.1523/JNEUROSCI.1135-05.2005,,,6775,6786,Neurogliaform neurons form a novel inhibitory network in the hippocampal CA1 area.,2005 Jul 20,J Neurosci,25,29,"4000: CA1:PC: CA1 pyramidal cell ### 4011: CA1:NGF_proj: CA1 neurogliaform cells, CA1 NG cells ### 4012: CA1:NGF: CA1 neurogliaform cells, CA1 NG cells",1
"Miettinen R, Riedel A, Kalesnykas G, Kettunen HP, Puolivali J, Soininen H, Arendt T",16081247,,,10.1016/j.jchemneu.2005.06.003,,,105,118,Reelin-immunoreactivity in the hippocampal formation of 9-month-old wildtype mouse: effects of APP/PS1 genotype and ovariectomy.,2005 Oct,J Chem Neuroanat,30,03-Feb,,
"LeBeau FE, El Manira A, Griller S",16112755,,,10.1016/j.tins.2005.08.005,,,552,561,Tuning the network: modulation of neuronal microcircuits in the spinal cord and hippocampus.,2005 Oct,Trends Neurosci,28,10,,
"Tahvildari B, Alonso A",16127693,,,10.1002/cne.20706,,,123,140,Morphological and electrophysiological properties of lateral entorhinal cortex layers II and III principal neurons.,2005 Oct 17,J Comp Neurol,491,2,6082: EC:excitatory: LEC layer II multiform cells ### 6095: EC:HOBIPPY: LEC layer III pyramidal cells ### 6092: EC:PC_III: LEC layer III pyramidal cells ### 6017: EC:PC_III_sm: LEC layer III pyramidal cells,1
"Gloveli T, Dugladze T, Rotstein HG, Traub RD, Monyer H, Heinemann U, Whittington MA, Kopell NJ",16141320,PMC1201613,,10.1073/pnas.0506259102,,1,13295,13300,Orthogonal arrangement of rhythm-generating microcircuits in the hippocampus.,2005 Sep 13,Proc Natl Acad Sci U S A,102,37,2009: CA3:O-LM: CA3 O-LM cell,1
"Hefft S, Jonas P",16158066,,,,,,1319,28,Asynchronous GABA release generates long-lasting inhibition at a hippocampal interneuron-principal neuron synapse. ,2005 Oct,Nat Neurosci,8,,,
"Miki T, Satriotomo I, Li HP, Matsumoto Y, Gu H, Yokoyama T, Lee KY, Bedi KS, Takeuchi Y",16158978,,,10.1111/j.1447-073x.2005.00121.x,,,153,162,Application of the physical disector to the central nervous system: estimation of the total number of neurons in subdivisions of the rat hippocampus.,2005 Sep,Anat Sci Int,80,3,,0
"Zsiros V, Maccaferri G",16177037,PMC6725508,,10.1523/JNEUROSCI.2810-05.2005,,,8686,95,Electrical coupling between interneurons with different excitable properties in the stratum lacunosum-moleculare of the juvenile CA1 rat hippocampus. ,2005 Sep 21,J Neurosci,25,38,,
"Kim JE, Kwak SE, Kim DS, Won MH, Kwon OS, Choi SY, Kang TC",16226385,,,10.1016/j.neuroscience.2005.08.052,,,317,326,"Reduced calcium binding protein immunoreactivity induced by electroconvulsive shock indicates neuronal hyperactivity, not neuronal death or deactivation.",2006,Neuroscience,137,1,,
"Klausberger T, Marton LF, O'Neill J, Huck JH, Dalezios Y, Fuentealba P, Suen WY, Papp E, Kaneko T, Watanabe M, Csicsvari J, Somogyi P",16237182,,,10.1523/JNEUROSCI.3269-05.2005,,,9782,9793,Complementary roles of cholecystokinin- and parvalbumin-expressing GABAergic neurons in hippocampal network oscillations.,2005 Oct 19,J Neurosci,25,42,4015: CA1:SCA-ADI: CA1 apical dendrite-innervating cells,1
"Esposito MS, Piatti VC, Laplagne DA, Morgenstern NA, Ferrari CC, Pitossi FJ, Schinder AF",16267214,,,10.1523/JNEUROSCI.3114-05.2005,,,10074,10086,Neuronal differentiation in the adult hippocampus recapitulates embryonic development.,2005 Nov 2,J Neurosci,25,44,,
"Ferraguti F, Klausberger T, Cobden P, Baude A, Roberts JD, Szucs P, Kinoshita A, Shigemoto R, Somogyi P, Dalezios Y",16280590,,,10.1523/JNEUROSCI.2547-05.2005,,,10520,10536,Metabotropic glutamate receptor 8-expressing nerve terminals target subsets of GABAergic neurons in the hippocampus.,2005 Nov 9,J Neurosci,25,45,4035: CA1:TH-ORP-DP-OR: CA1 trilaminar cell,1
"Zhao C, Teng EM, Summers RG Jr, Ming GL, Gage FH",16399667,,,10.1523/JNEUROSCI.3648-05.2006,,,3,11,Distinct morphological stages of dentate granule neuron maturation in the adult mouse hippocampus.,2006 Jan 4,J Neurosci,26,1,,
"Podlogar M, Dietrich D",16584711,,,10.1016/j.brainres.2006.02.050,,,95,101,Firing pattern of rat hippocampal neurons: a perforated patch clamp study.,2006 Apr 26,Brain Res,1085,1,,
"Diez M, Groth D, DeArmond SJ, Prusiner SB, Hokfelt T",16621165,,,10.1016/j.neurobiolaging.2006.02.017,,,748,765,Changes in neuropeptide expression in mice infected with prions.,2007 May,Neurobiol Aging,28,5,,
"Kumar SS, Buckmaster PS",16641241,,,10.1523/JNEUROSCI.0064-06.2006,,,4613,4623,"Hyperexcitability, interneurons, and loss of GABAergic synapses in entorhinal cortex in a model of temporal lobe epilepsy.",2006 Apr 26,J Neurosci,26,17,6040: EC:MPI_1_III: EC type I cells ### 6047: EC:MPI_2_III: EC layer III type II interneurons,1
"Glickfeld LL, Scanziani M",16648849,,,10.1038/nn1688,,,807,815,Distinct timing in the activity of cannabinoid-sensitive and cannabinoid-insensitive basket cells.,2006 Jun,Nat Neurosci,9,6,,
"Yu ZY, Wang W, Fritschy JM, Witte OW, Redecker C",16781682,,,10.1016/j.brainres.2006.04.118,,,73,81,Changes in neocortical and hippocampal GABAA receptor subunit distribution during brain maturation and aging.,2006 Jul 12,Brain Res,1099,1,,
"Poolos NP, Bullis JB, Roth MK",16870744,,,10.1523/JNEUROSCI.2069-06.2006,,,7995,8003,Modulation of h-channels in hippocampal pyramidal neurons by p38 mitogen-activated protein kinase.,2006 Jul 26,J Neurosci,26,30,"4054: CA1:PLP-RGC: CA1 pyramidal-like principal neuron, CA1 PLP neuron",1
Witter MP,16876886,,,10.1016/j.bbr.2006.06.022,,,251,264,Connections of the subiculum of the rat: topography in relation to columnar and laminar organization.,2006 Nov 11,Behav Brain Res,174,2,5001: SUB:PC-EC: subicular pyramidal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell,1
"Monory K, Massa F, Egertova M, Eder M, Blaudzun H, Westenbroek R, Kelsch W, Jacob W, Marsch R, Ekker M, Long J, Rubenstein JL, Goebbels S, Nave KA, During M, Klugmann M, Wolfel B, Dodt HU, Zieglgansberger W, Wotjak CT, Mackie K, Elphick MR, Marsicano G, Lutz B",16908411,,,10.1016/j.neuron.2006.07.006,,,455,466,The endocannabinoid system controls key epileptogenic circuits in the hippocampus.,2006 Aug 17,Neuron,51,4,,
"Hardie JB, Pearce RA",16914682,PMC6674351,,10.1523/JNEUROSCI.0547-06.2006,,,8559,69,Active and passive membrane properties and intrinsic kinetics shape synaptic inhibition in hippocampal CA1 pyramidal neurons. ,2006 Aug 16,J Neurosci,26,33,,
"Jinno S, Kosaka T",16930755,,,10.1016/j.neures.2006.07.007,,,229,245,Cellular architecture of the mouse hippocampus: a quantitative aspect of chemically defined GABAergic neurons with stereology.,2006 Nov,Neurosci Res,56,3,,0
"de la Prida LM, Totterdell S, Gigg J, Miles R",17016818,,,10.1002/hipo.20220,,,916,923,The subiculum comes of age.,2006,Hippocampus,16,11,,0
"McCloskey DP, Hintz TM, Pierce JP, Scharfman HE",17042797,,,10.1111/j.1460-9568.2006.05101.x,,,2203,2210,Stereological methods reveal the robust size and stability of ectopic hilar granule cells after pilocarpine-induced status epilepticus in the adult rat.,2006 Oct,Eur J Neurosci,24,8,,
"Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",17093119,,,10.1152/jn.00950.2006,,,1566,1587,Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,2007 Feb,J Neurophysiol,97,2,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Baude A, Bleasdale C, Dalezios Y, Somogyi P, Klausberger T",17122364,,,10.1093/cercor/bhl117,,,2094,2107,"Immunoreactivity for the GABAA receptor alpha1 subunit, somatostatin and Connexin36 distinguishes axoaxonic, basket, and bistratified interneurons of the  rat hippocampus.",2007 Sep,Cereb Cortex,17,9,,0
"Bullis JB, Jones TD, Poolos NP",17185334,PMC2075407,,10.1113/jphysiol.2006.123836,,1,431,443,Reversed somatodendritic I(h) gradient in a class of rat hippocampal neurons with pyramidal morphology.,2007 Mar 1,J Physiol,579,Pt 2,"4054: CA1:PLP-RGC: CA1 pyramidal-like principal neuron, CA1 PLP neuron",1
"Wolansky T, Pagliardini S, Greer JJ, Dickson CT",17366610,,,10.1002/cne.21338,,,427,441,Immunohistochemical characterization of substance P receptor (NK(1)R)-expressing  interneurons in the entorhinal cortex.,2007 May 20,J Comp Neurol,502,3,,
"Hosseini-Sharifabad M, Nyengaard JR",17368561,,,10.1016/j.jneumeth.2007.01.009,,,206,214,Design-based estimation of neuronal number and individual neuronal volume in the  rat hippocampus.,2007 May 15,J Neurosci Methods,162,02-Jan,1000: DG:GC: Dentate gyrus granule cell,1
"Boulland JL, Ferhat L, Tallak Solbu T, Ferrand N, Chaudhry FA, Storm-Mathisen J, Esclapez M",17503488,,,10.1002/cne.21384,,,466,485,Changes in vesicular transporters for gamma-aminobutyric acid and glutamate reveal vulnerability and reorganization of hippocampal neurons following pilocarpine-induced seizures.,2007 Jul 20,J Comp Neurol,503,3,,
Ali AB,17567776,,,10.1152/jn.00156.2007,,,861,9,Presynaptic Inhibition of GABAA receptor-mediated unitary IPSPs by cannabinoid receptors at synapses between CCK-positive interneurons in rat hippocampus. ,2007 Aug,J Neurophysiol,98,2,,
"Mercer A, Trigg HL, Thomson AM",17611285,,,10.1523/JNEUROSCI.1829-07.2007,,,7329,7338,Characterization of neurons in the CA2 subfield of the adult rat hippocampus.,2007 Jul 4,J Neurosci,27,27,"3000: CA2:PC: CA2 pyramidal cell, CA2 pyramid ### 3007: CA2:BC_proj: CA2 basket cell with wide arbor ### 3006: CA2:BC: CA2 basket cell with wide arbor ### 3003: CA2:BiC: CA2 bistratified cell",1
"Tukker JJ, Fuentealba P, Hartwich K, Somogyi P, Klausberger T",17670965,,,,,,8184,8189,Cell Type-Specific Tuning of Hippocampal Interneuron Firing During Gamma Oscillations in Vivo,2007,Journal of Neuroscience,,,,
"Tort AB, Rotstein HG, Dugladze T, Gloveli T, Kopell NJ",17679692,PMC1948921,,10.1073/pnas.0705708104,,1,13490,13495,On the formation of gamma-coherent cell assemblies by oriens lacunosum-moleculare interneurons in the hippocampus.,2007 Aug 14,Proc Natl Acad Sci U S A,104,33,2009: CA3:O-LM: CA3 O-LM cell,1
"Jinno S, Klausberger T, Marton LF, Dalezios Y, Roberts JD, Fuentealba P, Bushong EA, Henze D, Buzsaki G, Somogyi P",17699661,PMC2270609,NIHMSID41442,10.1523/JNEUROSCI.1847-07.2007,,1,8790,8804,Neuronal diversity in GABAergic long-range projections from the hippocampus.,2007 Aug 15,J Neurosci,27,33,"4035: CA1:TH-ORP-DP-OR: CA1 oriens-retrohippocampal cells, CA1 oriens-retrohippocampal projection neurons, CA1 double-projection cells ### 2025: CA3:DP: CA3 radial trilaminar cells ### 4043: CA1:RRP-SUB: cell T74b radiatum retrohippocampal ### 4042: CA1:RRP-CA3: cell T100c radiatum retrohippocampal",1
"Perea G, Araque A",17717185,,,10.1126/science.1144640,,,1083,6,Astrocytes potentiate transmitter release at single hippocampal synapses. ,2007 Aug 24,Science,317,5841,,
"Amaral DG, Scharfman HE, Lavenex P",17765709,PMC2492885,NIHMSID58790,10.1016/S0079-6123(07)63001-5,,1,3,22,The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies).,2007,Prog Brain Res,163,,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus pyramidal basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gryus long-spined multipolar cell, Dentate gyrus long-spined hilar somatostatin-positive GABAergic interneuron ### 2000: CA3:PC-ab: CA3 pyramidal neuron",1
Seress L,17765710,,,10.1016/S0079-6123(07)63002-7,,,23,41,"Comparative anatomy of the hippocampal dentate gyrus in adult and developing rodents, non-human primates and humans.",2007,Prog Brain Res,163,,1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: CA3 pyramidal cell,1
Witter MP,17765711,,,10.1016/S0079-6123(07)63003-9,,,43,61,The perforant path: projections from the entorhinal cortex to the dentate gyrus.,2007,Prog Brain Res,163,,,0
"Leranth C, Hajszan T",17765712,PMC1989689,NIHMSID14214,10.1016/S0079-6123(07)63004-0,,1,63,84,Extrinsic afferent systems to the dentate gyrus.,2007,Prog Brain Res,163,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: CA3 pyramidal cell,1
"Blaabjerg M, Zimmer J",17765713,,,10.1016/S0079-6123(07)63005-2,,,85,107,"The dentate mossy fibers: structural organization, development and plasticity.",2007,Prog Brain Res,163,,1000: DG:GC: Dentate gyrus granule cell,1
"Jaffe DB, Gutierrez R",17765714,,,10.1016/S0079-6123(07)63006-4,,,109,132,Mossy fiber synaptic transmission: communication from the dentate gyrus to area CA3.,2007,Prog Brain Res,163,,2000: CA3:PC-ab: CA3 pyramidal cell,1
"Ribak CE, Shapiro LA",17765717,,,10.1016/S0079-6123(07)63009-X,,,155,166,Ultrastructure and synaptic connectivity of cell types in the adult rat dentate gyrus.,2007,Prog Brain Res,163,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1010: DG:AA: Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 1014: DG:fusiform: Dg fusiform cells,1
"Henze DA, Buzsaki G",17765720,,,10.1016/S0079-6123(07)63012-X,,,199,216,Hilar mossy cells: functional identification and activity in vivo.,2007,Prog Brain Res,163,,,
Houser CR,17765721,,,10.1016/S0079-6123(07)63013-1,,,217,232,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity.",2007,Prog Brain Res,163,,"1000: DG:GC: Dentate gyrus granule cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell",1
Scharfman HE,17765742,PMC1986638,NIHMSID22757,10.1016/S0079-6123(07)63034-9,,1,627,637,"The CA3 ""backprojection"" to the dentate gyrus.",2007,Prog Brain Res,163,,2004: CA3:PC-c: CA3c pyramidal cell,1
"Morgan RJ, Santhakumar V, Soltesz I",17765743,,,10.1016/S0079-6123(07)63035-0,,,639,658,Modeling the dentate gyrus.,2007,Prog Brain Res,163,,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Rollenhagen A, Satzler K, Rodriguez EP, Jonas P, Frotscher M, Lubke JH",17898215,,,10.1523/JNEUROSCI.1946-07.2007,,,10434,10444,Structural determinants of transmission at large hippocampal mossy fiber synapses.,2007 Sep 26,J Neurosci,27,39,,0
"Knuesel I, Nyffeler M, Mormede C, Muhia M, Meyer U, Pietropaolo S, Yee BK, Pryce CR, LaFerla FM, Marighetto A, Feldon J",17904250,,,10.1016/j.neurobiolaging.2007.08.011,,,697,716,Age-related accumulation of Reelin in amyloid-like deposits.,2009 May,Neurobiol Aging,30,5,,
"Kreuzberg MM, Deuchars J, Weiss E, Schober A, Sonntag S, Wellershaus K, Draguhn A, Willecke K",17942321,,,10.1016/j.mcn.2007.09.003,,,119,134,Expression of connexin30.2 in interneurons of the central nervous system in the mouse.,2008 Jan,Mol Cell Neurosci,37,1,,
"Holter NI, Zuber N, Bruehl C, Draguhn A",17996219,,,10.1016/j.brainres.2007.09.089,,,56,64,Functional maturation of developing interneurons in the molecular layer of mouse  dentate gyrus.,2007 Dec,Brain Res,1186,,,
"Sakurai O, Kosaka T",18005945,,,10.1016/j.brainres.2007.10.032,,,129,143,"Nonprincipal neurons and CA2 pyramidal cells, but not mossy cells are immunoreactive for calcitonin gene-related peptide in the mouse hippocampus.",2007 Dec,Brain Res,1186,,,
"Jarsky T, Mady R, Kennedy B, Spruston N",18067146,,,10.1002/cne.21564,,,535,47,Distribution of bursting neurons in the CA1 region and the subiculum of the rat hippocampus. ,2008 Feb 1,J Comp Neurol,506,4,,
"Williams PA, Larimer P, Gao Y, Strowbridge BW",18077687,,,10.1523/JNEUROSCI.4053-07.2007,,,13756,13761,Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer.,2007 Dec 12,J Neurosci,27,50,1000: DG:GC: Dentate gyrus granule cell ### 1001: DG:SGC: Dentate gyrus semilunar granule cell ### 1002: DG:MC: Dentate gyrus mossy cell,1
"Antonucci F, Di Garbo A, Novelli E, Manno I, Sartucci F, Bozzi Y, Caleo M",18177862,,,10.1016/j.expneurol.2007.11.012,,,388,401,"Botulinum neurotoxin E (BoNT/E) reduces CA1 neuron loss and granule cell dispersion, with no effects on chronic seizures, in a mouse model of temporal lobe epilepsy.",2008 Apr,Exp Neurol,210,2,,
"Elfant D, Pal BZ, Emptage N, Capogna M",18184315,,,10.1111/j.1460-9568.2007.06001.x,,,104,113,Specific inhibitory synapses shift the balance from feedforward to feedback inhibition of hippocampal CA1 pyramidal cells.,2008 Jan,Eur J Neurosci,27,1,,
"Hemond P, Epstein D, Boley A, Migliore M, Ascoli GA, Jaffe DB",18189311,,,10.1002/hipo.20404,,,411,424,Distinct classes of pyramidal cells exhibit mutually exclusive firing patterns in hippocampal area CA3b.,2008,Hippocampus,18,4,,
"Zhao C, Deng W, Gage FH",18295581,,,10.1016/j.cell.2008.01.033,,,645,660,Mechanisms and functional implications of adult neurogenesis.,2008 Feb 22,Cell,132,4,,
