authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Cardoso A, Freitas-da-Costa P, Carvalho LS, Lukoyanov NV",20934916,,,10.1016/j.yebeh.2010.09.008,,,559,567,Seizure-induced changes in neuropeptide Y-containing cortical neurons: Potential  role for seizure threshold and epileptogenesis.,2010 Dec,Epilepsy Behav,19,4,,
"Chamberland S, Salesse C, Topolnik D, Topolnik L",21060720,,,10.3389/fncel.2010.00130,,,130,,Synapse-specific inhibitory control of hippocampal feedback inhibitory circuit.,2010,Front Cell Neurosci,4,,,
"Gulyas AI, Szabo GG, Ulbert I, Holderith N, Monyer H, Erdelyi F, Szabo G, Freund TF, Hajos N",21068319,,,10.1523/JNEUROSCI.4104-10.2010,,,15134,15145,Parvalbumin-containing fast-spiking basket cells generate the field potential oscillations induced by cholinergic receptor activation in the hippocampus.,2010 Nov 10,J Neurosci,30,45,,
"Park JY, Remy S, Varela J, Cooper DC, Chung S, Kang HW, Lee JH, Spruston N",21103408,PMC2982802,,10.1371/journal.pbio.1000534,,,e1000534,,A post-burst after depolarization is mediated by group i metabotropic glutamate receptor-dependent upregulation of Ca(v)2.3 R-type calcium channels in CA1 pyramidal neurons. ,2010 Nov 16,PLoS Biol,8,11,,
"Cea-del Rio CA, Lawrence JJ, Erdelyi F, Szabo G, McBain CJ",21115639,,,10.1113/jphysiol.2010.199422,,,609,627,Cholinergic modulation amplifies the intrinsic oscillatory properties of CA1 hippocampal cholecystokinin-positive interneurons.,2011 Feb 1,J Physiol,589,Pt 3,,
Ali AB,21123660,,,10.1152/jn.00831.2010,,,1051,1062,CB1 modulation of temporally distinct synaptic facilitation among local circuit interneurons mediated by N-type calcium channels in CA1.,2011 Mar,J Neurophysiol,105,3,,
"Beed P, Bendels MH, Wiegand HF, Leibold C, Johenning FW, Schmitz D",21172609,,,10.1016/j.neuron.2010.12.009,,,1059,1066,Analysis of excitatory microcircuitry in the medial entorhinal cortex reveals cell-type-specific differences.,2010 Dec 22,Neuron,68,6,"6082: EC:excitatory: MEC layer II pyramidal cells, MEC L2Ps ### 6003: EC:SC_II: MEC layer 2 stellate cells, MEC L2Ss",1
"Huang KP, Huang FL, Shetty PK",21256930,,,10.1016/j.neuroscience.2011.01.027,,,1,12,Stimulation-mediated translocation of calmodulin and neurogranin from soma to dendrites of mouse hippocampal CA1 pyramidal neurons.,2011 Mar 31,Neuroscience,178,,,
"Stanley EM, Fadel JR, Mott DD",21277654,,,10.1016/j.neurobiolaging.2010.12.014,,,1,13,Interneuron loss reduces dendritic inhibition and GABA release in hippocampus of  aged rats.,2012 Feb,Neurobiol Aging,33,2,,
"Romay-Tallon R, Dopeso-Reyes IG, Lussier AL, Kalynchuk LE, Caruncho HJ",21331324,,,10.1155/2010/130429,,,130429,,The coexpression of reelin and neuronal nitric oxide synthase in a subpopulation  of dentate gyrus neurons is downregulated in heterozygous reeler mice.,2010,Neural Plast,2010,,,
"Pierce JP, McCloskey DP, Scharfman HE",21344409,,,10.1002/cne.22568,,,1196,1218,Morphometry of hilar ectopic granule cells in the rat.,2011 Apr 15,J Comp Neurol,519,6,,
"Fernandez FR, Broicher T, Truong A, White JA",21389243,,,10.1523/JNEUROSCI.5076-10.2011,,,3880,3893,Membrane voltage fluctuations reduce spike frequency adaptation and preserve output gain in CA1 pyramidal neurons in a high-conductance state.,2011 Mar 9,J Neurosci,31,10,,
"Armstrong C, Szabadics J, Tamas G, Soltesz I",21452204,,,10.1002/cne.22577,,,1476,1491,Neurogliaform cells in the molecular layer of the dentate gyrus as feed-forward gamma-aminobutyric acidergic modulators of entorhinal-hippocampal interplay.,2011 Jun 1,J Comp Neurol,519,8,"1007: DG:NGF: Dentate gyrus neurogliaform cell, Dentate gyrus NGFC ### 1008: DG:MOPP-NGF: Dentate gyrus neurogliaform cell, Dentate gyrus NGFC",1
"Akdogan I, Kocamaz E, Kucukatay V, Yonguc NG, Ozdemir MB, Murk W",21511899,,,10.1177/0748233710397418,,,771,778,Hippocampal neuron number loss in rats exposed to ingested sulfite.,2011 Oct,Toxicol Ind Health,27,9,,0
"Huang KP, Huang FL",21516261,,,10.1021/cn200003f,,,223,230,Calcium-Sensitive Translocation of Calmodulin and Neurogranin between Soma and Dendrites of Mouse Hippocampal CA1 Neurons.,2011 Apr 20,ACS Chem Neurosci,2,4,,
"Burgalossi A, Herfst L, von Heimendahl M, Forste H, Haskic K, Schmidt M, Brecht M",21609831,,,10.1016/j.neuron.2011.04.003,,,773,86,Microcircuits of functionally identified neurons in the rat medial entorhinal cortex. ,2011 May 26,Neuron,70,4,,
"Drexel M, Preidt AP, Kirchmair E, Sperk G",21616128,,,10.1016/j.neuroscience.2011.05.021,,,316,329,Parvalbumin interneurons and calretinin fibers arising from the thalamic nucleus  reuniens degenerate in the subiculum after kainic acid-induced seizures.,2011 Aug 25,Neuroscience,189,,,
"Moore SJ, Throesch BT, Murphy GG",21697442,,,10.1152/jn.00257.2011,,,1570,1580,Of mice and intrinsic excitability: genetic background affects the size of the postburst afterhyperpolarization in CA1 pyramidal neurons.,2011 Sep,J Neurophysiol,106,3,,
"Tricoire L, Pelkey KA, Erkkila BE, Jeffries BW, Yuan X, McBain CJ",21795545,PMC3163481,NIHMSID314764,10.1523/JNEUROSCI.0323-11.2011,,1,10948,10970,A blueprint for the spatiotemporal origins of mouse hippocampal interneuron diversity.,2011 Jul 27,J Neurosci,31,30,4076: CA1:PPA: CA1 perforant path-associated interneuron ### 4069: CA1:O-LM: CA1 O-LM interneurons ### 2033: CA3:SLM: CA3 CGE-derived 5-HT3 transcript-expressing neurons ### 2034: CA3:ACA: CA3 associational commissural-associated interneurons ### 2037: CA3:MFA-3: CA3 mossy fiber-associated cells ### 4067: CA1:SO_O-LM: CA1 O-LM interneurons ### 4063: CA1:BC-2: CA1 CCK basket cells,1
